id;ikibazo;icyakozwe;icyakorwa;umwanzuro;status;priority;created_at;updated_at
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_REVIEW;HIGH;2022-07-12T22:10:29;2022-07-12T17:15:14
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_REVIEW;HIGH;2022-07-13T03:47:51;2022-07-12T23:54:50
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SOLVED;HIGH;2022-07-12T23:17:16;2022-07-13T09:26:41
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SOLVED;HIGH;2022-07-13T08:47:32;2022-07-13T01:10:02
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SOLVED;HIGH;2022-07-13T00:21:09;2022-07-12T15:12:49
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ONHOLD;HIGH;2022-07-12T22:32:05;2022-07-12T23:08:43
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SOLVED;MEDIUM;2022-07-12T11:50:52;2022-07-12T19:17:42
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_REVIEW;HIGH;2022-07-12T17:41:26;2022-07-13T07:31:21
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SOLVED;HIGH;2022-07-12T22:09:49;2022-07-12T16:39:49
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_REVIEW;LOW;2022-07-12T12:30:42;2022-07-13T02:47:58
