id;parent_id;name;office_type;created_at
1;olive capability maroon;silver Plastic;CELL;2022-07-13
2;Alaska orange teal;partnerships Borders;DISTRICT;2022-07-12
3;silver;whiteboard metrics Generic;SECTOR;2022-07-13
4;Bouvet;Bacon Kwacha Borders;OTHER;2022-07-13
5;Forge;reboot;OTHER;2022-07-12
6;Pants;Bulgarian haptic Pines;CELL;2022-07-13
7;Cheese Tools;Architect;SECTOR;2022-07-12
8;Carolina American;bandwidth;DISTRICT;2022-07-13
9;matrix;Mali;PROVINCE;2022-07-12
10;Ergonomic parsing;wireless;SECTOR;2022-07-12
